user_id,n_relevant,n_novel_relevant,novel_hits,seen_hits,novel_recall,seed,model
user_000000_000208,10,5,1,4,0.2,73,svd_256
user_000000_000209,13,4,0,3,0.0,73,svd_256
user_000000_000210,9,6,1,2,0.16666666666666666,73,svd_256
user_000000_000211,9,2,0,4,0.0,73,svd_256
user_000000_000212,11,1,0,7,0.0,73,svd_256
user_000000_000213,15,8,0,6,0.0,73,svd_256
user_000000_000214,12,5,2,4,0.4,73,svd_256
user_000000_000215,15,10,0,3,0.0,73,svd_256
user_000000_000216,9,3,0,3,0.0,73,svd_256
user_000000_000217,15,9,0,3,0.0,73,svd_256
user_000000_000218,11,6,0,4,0.0,73,svd_256
user_000000_000219,13,6,0,4,0.0,73,svd_256
user_000000_000220,13,7,0,3,0.0,73,svd_256
user_000000_000221,11,4,0,5,0.0,73,svd_256
user_000000_000222,10,3,0,5,0.0,73,svd_256
user_000000_000223,1,0,0,1,,73,svd_256
user_000000_000224,13,5,0,5,0.0,73,svd_256
user_000000_000225,7,4,0,3,0.0,73,svd_256
user_000000_000226,13,6,2,1,0.3333333333333333,73,svd_256
user_000000_000227,5,0,0,5,,73,svd_256
user_000000_000228,13,6,1,1,0.16666666666666666,73,svd_256
user_000000_000229,11,4,0,5,0.0,73,svd_256
user_000000_000230,13,7,0,4,0.0,73,svd_256
user_000000_000231,9,6,0,3,0.0,73,svd_256
user_000000_000232,15,10,0,3,0.0,73,svd_256
user_000000_000233,11,6,0,4,0.0,73,svd_256
user_000000_000234,10,3,0,6,0.0,73,svd_256
user_000000_000235,10,8,0,1,0.0,73,svd_256
user_000000_000236,8,1,0,7,0.0,73,svd_256
user_000000_000237,12,3,1,4,0.3333333333333333,73,svd_256
user_000000_000238,14,9,0,2,0.0,73,svd_256
user_000000_000239,10,2,0,8,0.0,73,svd_256
user_000000_000240,14,10,0,2,0.0,73,svd_256
user_000000_000241,13,8,0,4,0.0,73,svd_256
user_000000_000242,12,3,0,5,0.0,73,svd_256
user_000000_000243,13,5,0,6,0.0,73,svd_256
user_000000_000244,12,8,0,3,0.0,73,svd_256
user_000000_000245,14,11,0,0,0.0,73,svd_256
user_000000_000246,7,1,0,6,0.0,73,svd_256
user_000000_000247,12,8,1,4,0.125,73,svd_256
user_000000_000248,14,6,1,2,0.16666666666666666,73,svd_256
user_000000_000249,13,7,0,2,0.0,73,svd_256
user_000000_000250,8,4,0,2,0.0,73,svd_256
user_000000_000251,12,7,0,3,0.0,73,svd_256
user_000000_000252,12,6,1,2,0.16666666666666666,73,svd_256
user_000000_000253,8,3,0,5,0.0,73,svd_256
user_000000_000254,8,4,2,3,0.5,73,svd_256
user_000000_000255,12,9,0,2,0.0,73,svd_256
user_000000_000256,15,8,0,2,0.0,73,svd_256
user_000000_000257,5,1,0,4,0.0,73,svd_256
user_000000_000258,12,7,0,3,0.0,73,svd_256
user_000000_000259,14,7,0,2,0.0,73,svd_256
user_000000_000260,11,6,0,4,0.0,73,svd_256
user_000000_000261,12,6,0,4,0.0,73,svd_256
user_000000_000262,9,0,0,6,,73,svd_256
user_000000_000263,11,6,0,1,0.0,73,svd_256
user_000000_000264,12,3,0,5,0.0,73,svd_256
user_000000_000265,15,10,0,3,0.0,73,svd_256
user_000000_000266,8,5,1,3,0.2,73,svd_256
user_000000_000267,11,5,0,4,0.0,73,svd_256
user_000000_000268,8,4,0,4,0.0,73,svd_256
user_000000_000269,10,2,0,4,0.0,73,svd_256
user_000000_000270,9,5,0,2,0.0,73,svd_256
user_000000_000271,14,10,1,3,0.1,73,svd_256
user_000000_000272,7,2,0,5,0.0,73,svd_256
user_000000_000273,10,4,0,4,0.0,73,svd_256
user_000000_000274,7,4,0,2,0.0,73,svd_256
user_000000_000275,12,3,0,7,0.0,73,svd_256
user_000000_000276,14,4,0,2,0.0,73,svd_256
user_000000_000277,8,2,1,6,0.5,73,svd_256
user_000000_000278,14,7,0,2,0.0,73,svd_256
user_000000_000279,9,1,0,6,0.0,73,svd_256
user_000000_000280,11,5,0,3,0.0,73,svd_256
user_000000_000281,14,5,0,6,0.0,73,svd_256
user_000000_000282,6,1,0,5,0.0,73,svd_256
user_000000_000283,14,4,0,4,0.0,73,svd_256
user_000000_000284,9,2,0,4,0.0,73,svd_256
user_000000_000285,12,7,0,3,0.0,73,svd_256
user_000000_000286,13,6,0,4,0.0,73,svd_256
user_000000_000287,9,1,0,5,0.0,73,svd_256
user_000000_000288,14,8,1,3,0.125,73,svd_256
user_000000_000289,7,0,0,6,,73,svd_256
user_000000_000290,6,1,0,5,0.0,73,svd_256
user_000000_000291,6,0,0,6,,73,svd_256
user_000000_000292,6,1,0,5,0.0,73,svd_256
user_000000_000293,10,5,0,4,0.0,73,svd_256
user_000000_000294,14,10,0,2,0.0,73,svd_256
user_000000_000295,9,2,0,6,0.0,73,svd_256
user_000000_000296,13,7,0,2,0.0,73,svd_256
